id,category,price,title_tr,title_en,desc_tr,desc_en,img,url
p14,laptop_aksesuar,599,"Kablosuz Mouse","Wireless Mouse","Ergonomik kablosuz fare, sessiz tıklama, uzun pil ömrü","Ergonomic wireless mouse, silent click, long battery life",🖱️,https://example-store.com/products/p14
p15,laptop_aksesuar,449,"Laptop Soğutucu Stand","Laptop Cooling Stand","Fanlı laptop soğutucu altlık, ergonomik açı ayarı, USB beslemeli","Fan-cooled laptop stand, ergonomic angle adjustment, USB powered",🧊,https://example-store.com/products/p15
p16,saat,5999,"Aurora Watch Akıllı Saat","Aurora Watch Smartwatch","Nabız ve uyku takibi, bildirim desteği, su geçirmez akıllı saat","Heart rate and sleep tracking, notification support, water-resistant smartwatch",⌚,https://example-store.com/products/p16
p17,saat_aksesuar,299,"Akıllı Saat için Silikon Kordon","Silicone Band for Smartwatch","Yumuşak silikon akıllı saat kordonu, terlemeye dayanıklı, değiştirilebilir","Soft silicone smartwatch band, sweat-resistant, replaceable",⌚,https://example-store.com/products/p17
p18,saat_aksesuar,249,"Akıllı Saat Ekran Koruyucu (3'lü)","Smartwatch Screen Protector (3-Pack)","Akıllı saat için darbe emici ekran koruyucu film, 3'lü paket","Shock-absorbing screen protector film for smartwatch, 3-pack",⌚,https://example-store.com/products/p18
p19,hoparlor,1299,"Taşınabilir Bluetooth Hoparlör","Portable Bluetooth Speaker","Su geçirmez taşınabilir bluetooth hoparlör, güçlü bas, 10 saat pil ömrü","Waterproof portable bluetooth speaker, strong bass, 10-hour battery life",🔊,https://example-store.com/products/p19
p20,hoparlor,2499,"Ev Tipi Akıllı Hoparlör","Smart Home Speaker","Sesli asistan destekli ev tipi akıllı hoparlör, oda dolduran ses kalitesi","Voice-assistant enabled smart home speaker, room-filling sound quality",🔊,https://example-store.com/products/p20
p21,kamera,8999,"Aurora Action Cam 4K Aksiyon Kamerası","Aurora Action Cam 4K Action Camera","4K çözünürlük, su geçirmez gövde, aksiyon sporları için taşınabilir kamera","4K resolution, waterproof body, portable camera for action sports",📷,https://example-store.com/products/p21
p22,kamera_aksesuar,399,"Aksiyon Kamera Tutucu Seti","Action Camera Mount Kit","Bisiklet ve kask montaj aparatları dahil aksiyon kamera tutucu seti","Action camera mount kit including bike and helmet attachments",📷,https://example-store.com/products/p22
p23,kamera_aksesuar,349,"Aksiyon Kamera için Ekstra Batarya","Extra Battery for Action Camera","Yedek pil, uzun çekimler için aksiyon kamerayla uyumlu ekstra batarya","Spare battery, extra battery for long shoots compatible with action camera",🔋,https://example-store.com/products/p23
p24,tablet,15999,"Aurora Tab 10 Tablet 64GB","Aurora Tab 10 Tablet 64GB","10 inç ekran, 64GB depolama, hafif ve ince tasarımlı tablet","10-inch display, 64GB storage, lightweight and slim design tablet",📱,https://example-store.com/products/p24
p25,tablet_aksesuar,549,"Tablet için Manyetik Klavye Kılıfı","Magnetic Keyboard Case for Tablet","Katlanabilir manyetik klavye kılıfı, tablet ile uyumlu, standlı tasarım","Foldable magnetic keyboard case, compatible with tablet, stand design",⌨️,https://example-store.com/products/p25
p26,tablet_aksesuar,299,"Tablet için Dokunmatik Kalem","Stylus Pen for Tablet","Hassas dokunmatik kalem, çizim ve not almak için tablet uyumlu","Precision stylus pen, tablet-compatible for drawing and note-taking",✏️,https://example-store.com/products/p26
p27,oyun,2999,"Kablosuz Oyun Kolu","Wireless Game Controller","PC ve mobil uyumlu kablosuz oyun kolu, uzun pil ömrü, ergonomik tasarım","Wireless game controller compatible with PC and mobile, long battery life, ergonomic design",🎮,https://example-store.com/products/p27
p28,oyun_aksesuar,199,"Oyun Kolu için Şarj Standı","Charging Dock for Game Controller","Çift yuvalı oyun kolu şarj standı, hızlı şarj destekli","Dual-slot charging dock for game controllers, fast charging supported",🎮,https://example-store.com/products/p28
p29,usb,349,"7in1 USB-C Hub Çoklayıcı","7-in-1 USB-C Hub Adapter","HDMI, USB, kart okuyucu içeren 7in1 USB-C çoklayıcı, laptop ve tablet uyumlu","7-in-1 USB-C hub with HDMI, USB, card reader, compatible with laptop and tablet",🔌,https://example-store.com/products/p29
p30,kablo,149,"Örgülü USB-C Kablo 2 Metre","Braided USB-C Cable 2 Meters","Dayanıklı örgülü USB-C şarj ve veri kablosu, 2 metre uzunluk","Durable braided USB-C charging and data cable, 2 meters long",🔌,https://example-store.com/products/p30
